pick_date,appellation_new,load_quantity
2016-08-11,Santa Maria Valley,20
2016-08-12,Los Carneros,21
2016-08-15,Santa Maria Valley,68
2016-08-16,Alexander Valley,7
2016-08-16,Santa Maria Valley,68
2016-08-17,Los Carneros,26.5
2016-08-17,Santa Maria Valley,88
2016-08-18,Alexander Valley,12
2016-08-18,Calistoga,14.4
2016-08-18,Santa Maria Valley,107
2016-08-18,Yountville,10
2016-08-19,Alexander Valley,16
2016-08-19,Calistoga,63.1
2016-08-19,Los Carneros,13.5
2016-08-19,Paso Robles,0
2016-08-19,Rutherford,5.1
2016-08-19,Santa Maria Valley,117
2016-08-19,Sta. Rita Hills,1.5
2016-08-20,Calistoga,40
2016-08-20,Santa Maria Valley,59
2016-08-22,Calistoga,47.1
2016-08-22,Los Carneros,12
2016-08-22,Rutherford,5.1
2016-08-22,Santa Maria Valley,156.3
2016-08-23,Calistoga,69
2016-08-23,Santa Maria Valley,132
2016-08-24,Calistoga,17.75
2016-08-24,Los Carneros,49.5
2016-08-24,Rutherford,5.1
2016-08-24,Santa Maria Valley,155
2016-08-24,Sta. Rita Hills,13.72
2016-08-25,Alexander Valley,9
2016-08-25,Calistoga,43.625
2016-08-25,Rutherford,5.4
2016-08-25,Santa Maria Valley,144
2016-08-25,Sta. Rita Hills,25.07
2016-08-26,Alexander Valley,30
2016-08-26,Los Carneros,21
2016-08-26,Santa Maria Valley,116
2016-08-26,Sta. Rita Hills,13.8
2016-08-29,Alexander Valley,30
2016-08-29,Calistoga,5.25
2016-08-29,Happy Canyon of Santa Barbara,60
2016-08-29,Los Carneros,63
2016-08-29,Oak Knoll District of Napa Valley,20
2016-08-29,Santa Maria Valley,93
2016-08-30,Alexander Valley,11
2016-08-30,Happy Canyon of Santa Barbara,30
2016-08-30,Los Carneros,40
2016-08-30,Oak Knoll District of Napa Valley,43
2016-08-30,Rutherford,8.4
2016-08-30,Santa Maria Valley,108
2016-08-30,Sta. Rita Hills,1.75
2016-08-31,Los Carneros,107
2016-08-31,Oak Knoll District of Napa Valley,25
2016-08-31,Rutherford,25
2016-08-31,Santa Maria Valley,108
2016-08-31,St. Helena,14.35
2016-08-31,Sta. Rita Hills,23.23
2016-09-01,Alexander Valley,20
2016-09-01,Calistoga,12
2016-09-01,Los Carneros,54
2016-09-01,Oak Knoll District of Napa Valley,46
2016-09-01,Rutherford,6.6
2016-09-01,Santa Maria Valley,216
2016-09-02,Los Carneros,35
2016-09-02,Oakville,19
2016-09-02,Rutherford,15
2016-09-02,Santa Maria Valley,60
2016-09-02,St. Helena,1
2016-09-03,Los Carneros,31.5
2016-09-03,Paso Robles,0
2016-09-05,Los Carneros,47
2016-09-05,Santa Maria Valley,92
2016-09-06,Los Carneros,29.5
2016-09-06,Russian River Valley,0
2016-09-06,Santa Maria Valley,108
2016-09-06,St. Helena,13
2016-09-07,Happy Canyon of Santa Barbara,50
2016-09-07,Los Carneros,42.5
2016-09-07,Russian River Valley,0
2016-09-07,Rutherford,41.5
2016-09-07,Santa Maria Valley,48
2016-09-08,Happy Canyon of Santa Barbara,25
2016-09-08,Los Carneros,6.5
2016-09-08,Oak Knoll District of Napa Valley,12
2016-09-08,Paso Robles,8
2016-09-08,Petaluma Gap,0
2016-09-08,Russian River Valley,0
2016-09-08,Santa Maria Valley,49
2016-09-08,Sonoma Valley,0
2016-09-08,Yountville,0
2016-09-09,Calistoga,0
2016-09-09,Happy Canyon of Santa Barbara,28
2016-09-09,Los Carneros,0
2016-09-09,Oak Knoll District of Napa Valley,0
2016-09-09,Paso Robles,20
2016-09-09,St. Helena,0
2016-09-09,Stags Leap District,0
2016-09-09,Yountville,20
2016-09-10,Calistoga,0
2016-09-10,Los Carneros,0
2016-09-10,Oakville,52
2016-09-12,Alexander Valley,0
2016-09-12,Happy Canyon of Santa Barbara,62
2016-09-12,Knights Valley,0
2016-09-12,Mendocino,0
2016-09-12,Santa Maria Valley,0
2016-09-12,Sonoma Valley,0
2016-09-12,St. Helena,0
2016-09-12,Stags Leap District,0
2016-09-13,Alexander Valley,0
2016-09-13,Calistoga,0
2016-09-13,Happy Canyon of Santa Barbara,24
2016-09-13,Los Carneros,0
2016-09-13,Oak Knoll District of Napa Valley,0
2016-09-13,Oakville,0
2016-09-13,Santa Maria Valley,0
2016-09-13,Stags Leap District,0
2016-09-13,Yamhill-Carlton,12
2016-09-13,Yountville,0
2016-09-14,Alexander Valley,0
2016-09-14,Happy Canyon of Santa Barbara,0
2016-09-14,Los Carneros,0
2016-09-14,Oak Knoll District of Napa Valley,0
2016-09-14,Santa Maria Valley,24
2016-09-14,Stags Leap District,0
2016-09-15,Alexander Valley,0
2016-09-15,Happy Canyon of Santa Barbara,0
2016-09-15,Los Carneros,0
2016-09-15,Oak Knoll District of Napa Valley,0
2016-09-15,Santa Maria Valley,0
2016-09-16,Alexander Valley,0
2016-09-16,Big Valley District-Lake County,0
2016-09-16,Happy Canyon of Santa Barbara,0
2016-09-16,Los Carneros,0
2016-09-16,Paso Robles,17
2016-09-16,Santa Maria Valley,0
2016-09-16,Sonoma Valley,0
2016-09-16,St. Helena,0
2016-09-17,Alexander Valley,0
2016-09-17,Los Carneros,0
2016-09-17,Yountville,0
2016-09-19,Alexander Valley,0
2016-09-19,Big Valley District-Lake County,0
2016-09-19,Calistoga,0
2016-09-19,Coombsville,0
2016-09-19,Dry Creek Valley,0
2016-09-19,Happy Canyon of Santa Barbara,0
2016-09-19,Los Carneros,0
2016-09-19,Oak Knoll District of Napa Valley,0
2016-09-19,Oakville,0
2016-09-19,Paso Robles,10
2016-09-19,Petaluma Gap,0
2016-09-19,Rutherford,0
2016-09-19,Sonoma Valley,0
2016-09-20,Alexander Valley,0
2016-09-20,Calistoga,0
2016-09-20,Happy Canyon of Santa Barbara,0
2016-09-20,Los Carneros,0
2016-09-20,Oak Knoll District of Napa Valley,0
2016-09-20,Oakville,0
2016-09-20,Paso Robles,0
2016-09-20,Rutherford,0
2016-09-20,St. Helena,0
2016-09-21,Alexander Valley,0
2016-09-21,Calistoga,0
2016-09-21,Coombsville,0
2016-09-21,Dry Creek Valley,0
2016-09-21,Happy Canyon of Santa Barbara,0
2016-09-21,Los Carneros,0
2016-09-21,Oak Knoll District of Napa Valley,0
2016-09-21,Oakville,0
2016-09-21,St. Helena,0
2016-09-21,Yountville,0
2016-09-22,Alexander Valley,0
2016-09-22,Calistoga,0
2016-09-22,Happy Canyon of Santa Barbara,0
2016-09-22,Howell Mountain,0
2016-09-22,Los Carneros,5
2016-09-22,Oakville,0
2016-09-22,Paso Robles,0
2016-09-22,Rutherford,0
2016-09-22,St. Helena,0
2016-09-22,Stags Leap District,0
2016-09-23,Alexander Valley,0
2016-09-23,Calistoga,0
2016-09-23,Happy Canyon of Santa Barbara,0
2016-09-23,Howell Mountain,0
2016-09-23,Los Carneros,0
2016-09-23,Mt. Veeder,0
2016-09-23,Napa Valley,0
2016-09-23,Oakville,0
2016-09-23,Paso Robles,0
2016-09-23,Rutherford,0
2016-09-23,Santa Maria Valley,0
2016-09-23,St. Helena,0
2016-09-23,Stags Leap District,0
2016-09-24,Alexander Valley,0
2016-09-24,Calistoga,0
2016-09-24,Dry Creek Valley,0
2016-09-24,Knights Valley,0
2016-09-24,Los Carneros,0
2016-09-24,Mt. Veeder,0
2016-09-24,Napa Valley,0
2016-09-24,Oakville,0
2016-09-24,Rutherford,0
2016-09-24,St. Helena,0
2016-09-24,Stags Leap District,0
2016-09-26,Alexander Valley,0
2016-09-26,Calistoga,0
2016-09-26,Diamond Mountain District,0
2016-09-26,Los Carneros,0
2016-09-26,Moon Mountain District Sonoma County,0
2016-09-26,Napa Valley,0
2016-09-26,Paso Robles,0
2016-09-26,St. Helena,0
2016-09-26,Stags Leap District,0
2016-09-27,Alexander Valley,0
2016-09-27,Calistoga,0
2016-09-27,Diamond Mountain District,0
2016-09-27,Knights Valley,0
2016-09-27,Los Carneros,0
2016-09-27,Napa Valley,0
2016-09-27,Oak Knoll District of Napa Valley,0
2016-09-27,Oakville,0
2016-09-27,Paso Robles,0
2016-09-27,Rutherford,0
2016-09-27,San Miguel District,0
2016-09-27,Spring Mountain District,0
2016-09-27,Stags Leap District,0
2016-09-28,Alexander Valley,0
2016-09-28,Calistoga,0
2016-09-28,Diamond Mountain District,0
2016-09-28,Los Carneros,0
2016-09-28,Moon Mountain District Sonoma County,0
2016-09-28,Mt. Veeder,0
2016-09-28,Napa Valley,0
2016-09-28,Oak Knoll District of Napa Valley,0
2016-09-28,Oakville,0
2016-09-28,Paso Robles,0
2016-09-28,San Miguel District,0
2016-09-28,Sonoma Valley,0
2016-09-28,Stags Leap District,0
2016-09-28,Yountville,0
2016-09-29,Calistoga,0
2016-09-29,Happy Canyon of Santa Barbara,0
2016-09-29,Knights Valley,0
2016-09-29,Los Carneros,0
2016-09-29,Oakville,0
2016-09-29,Paso Robles,0
2016-09-29,Rutherford,0
2016-09-29,San Miguel District,0
2016-09-29,Sonoma Valley,0
2016-09-29,St. Helena,0
2016-09-29,Stags Leap District,0
2016-09-30,Happy Canyon of Santa Barbara,0
2016-09-30,Knights Valley,0
2016-09-30,Los Carneros,0
2016-09-30,Moon Mountain District Sonoma County,0
2016-09-30,Mt. Veeder,0
2016-09-30,Oak Knoll District of Napa Valley,0
2016-09-30,Oakville,0
2016-09-30,Paso Robles,0
2016-09-30,Rutherford,0
2016-09-30,Sonoma Valley,0
2016-09-30,St. Helena,0
2016-10-01,Alexander Valley,0
2016-10-01,Atlas Peak,0
2016-10-01,Calistoga,0
2016-10-01,Knights Valley,0
2016-10-01,Los Carneros,0
2016-10-01,Oakville,0
2016-10-01,Rutherford,0
2016-10-01,St. Helena,0
2016-10-03,Calistoga,0
2016-10-03,Diamond Mountain District,0
2016-10-03,Happy Canyon of Santa Barbara,0
2016-10-03,Knights Valley,0
2016-10-03,Los Carneros,0
2016-10-03,Mendocino,0
2016-10-03,Oakville,0
2016-10-03,Paso Robles,0
2016-10-03,Rutherford,0
2016-10-03,St. Helena,0
2016-10-03,Stags Leap District,0
2016-10-04,Alexander Valley,0
2016-10-04,Calistoga,0
2016-10-04,Diamond Mountain District,0
2016-10-04,Knights Valley,0
2016-10-04,Mendocino,0
2016-10-04,Moon Mountain District Sonoma County,0
2016-10-04,Napa Valley,0
2016-10-04,Oakville,0
2016-10-04,Paso Robles,0
2016-10-04,Rutherford,0
2016-10-04,San Miguel District,0
2016-10-04,St. Helena,0
2016-10-04,Stags Leap District,0
2016-10-05,Diamond Mountain District,0
2016-10-05,Howell Mountain,0
2016-10-05,Napa Valley,0
2016-10-05,Oakville,0
2016-10-05,Paso Robles,0
2016-10-05,Rutherford,15
2016-10-05,San Miguel District,0
2016-10-05,Sonoma Valley,0
2016-10-05,St. Helena,0
2016-10-06,Alexander Valley,0
2016-10-06,Diamond Mountain District,0
2016-10-06,Howell Mountain,0
2016-10-06,Knights Valley,0
2016-10-06,Los Carneros,0
2016-10-06,Moon Mountain District Sonoma County,0
2016-10-06,Oak Knoll District of Napa Valley,0
2016-10-06,Paso Robles,0
2016-10-06,Rutherford,0
2016-10-07,Alexander Valley,0
2016-10-07,Calistoga,0
2016-10-07,Diamond Mountain District,0
2016-10-07,Howell Mountain,0
2016-10-07,Knights Valley,0
2016-10-07,Los Carneros,0
2016-10-07,Oakville,0
2016-10-07,Paso Robles,0
2016-10-07,Rutherford,0
2016-10-07,Sonoma Valley,0
2016-10-08,Alexander Valley,0
2016-10-08,Diamond Mountain District,0
2016-10-08,Howell Mountain,0
2016-10-08,Knights Valley,0
2016-10-08,Oakville,0
2016-10-08,Rutherford,0
2016-10-08,Yountville,0
2016-10-10,Diamond Mountain District,0
2016-10-10,Howell Mountain,0
2016-10-10,Knights Valley,0
2016-10-10,Moon Mountain District Sonoma County,0
2016-10-10,Oakville,0
2016-10-10,Paso Robles,0
2016-10-10,Rutherford,0
2016-10-10,Sonoma Valley,0
2016-10-10,Spring Mountain District,0
2016-10-10,St. Helena,0
2016-10-10,Stags Leap District,0
2016-10-11,Atlas Peak,0
2016-10-11,Calistoga,0
2016-10-11,Diamond Mountain District,0
2016-10-11,Knights Valley,0
2016-10-11,Oakville,0
2016-10-11,Paso Robles,0
2016-10-11,Rutherford,0
2016-10-11,St. Helena,0
2016-10-12,Calistoga,0
2016-10-12,Diamond Mountain District,0
2016-10-12,Howell Mountain,0
2016-10-12,Knights Valley,0
2016-10-12,Los Carneros,0
2016-10-12,Oak Knoll District of Napa Valley,0
2016-10-12,Paso Robles,0
2016-10-12,Rutherford,0
2016-10-12,Sonoma Valley,0
2016-10-12,St. Helena,0
2016-10-13,Howell Mountain,0
2016-10-13,Knights Valley,0
2016-10-13,Paso Robles,0
2016-10-13,Rutherford,0
2016-10-13,Sonoma Valley,0
2016-10-13,Spring Mountain District,0
2016-10-13,St. Helena,0
2016-10-13,Yountville,0
2016-10-14,Paso Robles,0
2016-10-17,Paso Robles,0
2016-10-18,Paso Robles,0
2016-10-18,Rutherford,0
2016-10-19,Knights Valley,0
2016-10-19,Paso Robles,0
2016-10-19,Rutherford,0
2016-10-19,St. Helena,0
2016-10-20,Knights Valley,0
2016-10-20,Paso Robles,0
2016-10-20,St. Helena,0
2016-10-21,Howell Mountain,0
2016-10-21,Knights Valley,0
2016-10-21,Paso Robles,0
2016-10-21,Rutherford,0
2016-10-21,Spring Mountain District,0
2016-10-21,Yountville,0
2016-10-24,Paso Robles,0
2016-10-24,San Miguel District,0
2016-10-25,Paso Robles,0
2016-10-25,San Miguel District,0
2016-11-11,Alexander Valley,0
2017-08-01,Happy Canyon of Santa Barbara,0
2017-08-01,Santa Maria Valley,44
2017-08-14,Happy Canyon of Santa Barbara,37.5
2017-08-15,Yountville,88.4
2017-08-16,Yountville,73
2017-08-17,Yountville,60
2017-08-18,Los Carneros,16
2017-08-18,Santa Maria Valley,48
2017-08-21,Happy Canyon of Santa Barbara,20
2017-08-21,Santa Maria Valley,96
2017-08-22,Calistoga,11
2017-08-22,Santa Maria Valley,91
2017-08-23,San Lucas,8
2017-08-23,Santa Maria Valley,72
2017-08-24,Calistoga,20
2017-08-24,Rutherford,16
2017-08-24,San Lucas,48
2017-08-24,Santa Maria Valley,96
2017-08-25,Calistoga,27.75
2017-08-25,Happy Canyon of Santa Barbara,23
2017-08-25,Oak Knoll District of Napa Valley,32
2017-08-25,Rutherford,16
2017-08-25,San Lucas,48
2017-08-28,Alexander Valley,44
2017-08-28,California Shenandoah Valley,96
2017-08-28,Calistoga,50
2017-08-28,Clarksburg,240
2017-08-28,Los Carneros,22.14
2017-08-28,Oak Knoll District of Napa Valley,13
2017-08-28,Rutherford,17.509999999999998
2017-08-28,San Lucas,48
2017-08-28,Santa Maria Valley,47
2017-08-29,Alexander Valley,44
2017-08-29,California Shenandoah Valley,96
2017-08-29,Calistoga,70
2017-08-29,Clarksburg,240
2017-08-29,Happy Canyon of Santa Barbara,48
2017-08-29,Los Carneros,12.8
2017-08-29,Oak Knoll District of Napa Valley,32
2017-08-29,Rutherford,14.4
2017-08-29,San Lucas,48
2017-08-29,Santa Maria Valley,59
2017-08-29,Sta. Rita Hills,3
2017-08-30,Alexander Valley,43.4
2017-08-30,California Shenandoah Valley,96
2017-08-30,Calistoga,41.45
2017-08-30,Clarksburg,240
2017-08-30,Happy Canyon of Santa Barbara,48
2017-08-30,Los Carneros,34.63
2017-08-30,Oak Knoll District of Napa Valley,48.4
2017-08-30,Paso Robles,24
2017-08-30,Rutherford,26.55
2017-08-30,San Lucas,48
2017-08-30,Santa Maria Valley,97
2017-08-30,Sta. Rita Hills,15.83
2017-08-31,Alexander Valley,13.2
2017-08-31,California Shenandoah Valley,48
2017-08-31,Calistoga,50.5
2017-08-31,Clarksburg,96
2017-08-31,Happy Canyon of Santa Barbara,36
2017-08-31,Los Carneros,54.42
2017-08-31,Mokelumne River,48
2017-08-31,Oak Knoll District of Napa Valley,8
2017-08-31,Paso Robles,24
2017-08-31,Rutherford,24.900000000000002
2017-08-31,San Lucas,68
2017-08-31,Santa Maria Valley,152
2017-08-31,Sta. Rita Hills,9.02
2017-09-01,Calistoga,10
2017-09-01,Clarksburg,192
2017-09-01,Happy Canyon of Santa Barbara,196
2017-09-01,Jahant,192
2017-09-01,Los Carneros,128.94
2017-09-01,Oak Knoll District of Napa Valley,40
2017-09-01,Paso Robles,144
2017-09-01,San Lucas,60
2017-09-01,Santa Maria Valley,176
2017-09-01,St. Helena,52
2017-09-02,Knights Valley,28
2017-09-02,Los Carneros,147.7
2017-09-02,Paso Robles,10
2017-09-02,Santa Maria Valley,100
2017-09-02,Stags Leap District,30
2017-09-03,Mendocino,24
2017-09-03,Yountville,0
2017-09-04,Clarksburg,96
2017-09-04,Jahant,60
2017-09-04,Los Carneros,123.36
2017-09-04,Paso Robles,42
2017-09-04,Santa Maria Valley,120
2017-09-04,Sloughhouse,192
2017-09-04,Sta. Rita Hills,13.7
2017-09-05,Borden Ranch,168
2017-09-05,Clarksburg,24
2017-09-05,Happy Canyon of Santa Barbara,63
2017-09-05,Jahant,144
2017-09-05,Los Carneros,224.1
2017-09-05,Mokelumne River,144
2017-09-05,Oak Knoll District of Napa Valley,40
2017-09-05,Petaluma Gap,3.5
2017-09-05,San Lucas,0
2017-09-05,Santa Maria Valley,80
2017-09-05,Sloughhouse,24
2017-09-05,Sonoma Valley,8
2017-09-05,Stags Leap District,31.5
2017-09-05,Yountville,8
2017-09-06,California Shenandoah Valley,96
2017-09-06,Clarksburg,72
2017-09-06,Clements Hills,72
2017-09-06,Los Carneros,211.95
2017-09-06,Mokelumne River,48
2017-09-06,Oak Knoll District of Napa Valley,35
2017-09-06,Sloughhouse,144
2017-09-07,Alexander Valley,24.8
2017-09-07,Calistoga,53.5
2017-09-07,Clarksburg,96
2017-09-07,Clements Hills,108
2017-09-07,Happy Canyon of Santa Barbara,39
2017-09-07,Los Carneros,206.49
2017-09-07,Mokelumne River,144
2017-09-07,Oak Knoll District of Napa Valley,28
2017-09-07,Petaluma Gap,7.5
2017-09-07,Russian River Valley,25.5
2017-09-07,Santa Maria Valley,20
2017-09-07,Sloughhouse,96
2017-09-07,St. Helena,6
2017-09-08,Alexander Valley,57.8
2017-09-08,Calistoga,35
2017-09-08,Clarksburg,84
2017-09-08,Happy Canyon of Santa Barbara,72
2017-09-08,Jahant,120
2017-09-08,Los Carneros,235.64000000000001
2017-09-08,Mokelumne River,240
2017-09-08,Mt. Veeder,2
2017-09-08,Oak Knoll District of Napa Valley,75
2017-09-08,Rutherford,4
2017-09-08,Santa Maria Valley,64
2017-09-08,Sonoma Valley,17.3
2017-09-08,St. Helena,4
2017-09-09,Alexander Valley,60
2017-09-09,Happy Canyon of Santa Barbara,72
2017-09-09,Los Carneros,233.66
2017-09-09,Mokelumne River,96
2017-09-09,Oak Knoll District of Napa Valley,83
2017-09-09,Oakville,33.45
2017-09-09,Santa Maria Valley,28
2017-09-09,Stags Leap District,10
2017-09-11,Alexander Valley,44
2017-09-11,Happy Canyon of Santa Barbara,48
2017-09-11,Los Carneros,165.96
2017-09-11,Mokelumne River,72
2017-09-11,Oak Knoll District of Napa Valley,23
2017-09-11,Oakville,191
2017-09-11,Paicines,48
2017-09-11,Paso Robles,0
2017-09-11,Rutherford,1.8
2017-09-11,San Lucas,0
2017-09-11,Santa Maria Valley,96
2017-09-11,Stags Leap District,12
2017-09-12,Alexander Valley,36.1
2017-09-12,Calistoga,20
2017-09-12,Coombsville,18
2017-09-12,Dry Creek Valley,18
2017-09-12,Happy Canyon of Santa Barbara,91
2017-09-12,Los Carneros,88.23
2017-09-12,Oak Knoll District of Napa Valley,10
2017-09-12,Oakville,110
2017-09-12,Paicines,96
2017-09-12,Paso Robles,0
2017-09-12,San Lucas,0
2017-09-12,San Miguel District,48
2017-09-12,Santa Maria Valley,96
2017-09-12,Sonoma Valley,5.9
2017-09-12,St. Helena,24.3
2017-09-13,Alexander Valley,24
2017-09-13,Calistoga,100
2017-09-13,Dry Creek Valley,10
2017-09-13,Happy Canyon of Santa Barbara,48
2017-09-13,Los Carneros,25
2017-09-13,Oak Knoll District of Napa Valley,53
2017-09-13,Oakville,99
2017-09-13,Paicines,96
2017-09-13,Paso Robles,0
2017-09-13,Rutherford,7.5
2017-09-13,San Lucas,48
2017-09-13,San Miguel District,72
2017-09-13,Santa Maria Valley,65
2017-09-14,Alexander Valley,20
2017-09-14,Calistoga,6
2017-09-14,Happy Canyon of Santa Barbara,107
2017-09-14,Los Carneros,14.9
2017-09-14,Oak Knoll District of Napa Valley,43
2017-09-14,Oakville,30
2017-09-14,Paicines,144
2017-09-14,Paso Robles,44
2017-09-14,San Lucas,0
2017-09-14,Santa Maria Valley,64
2017-09-14,St. Helena,35.8
2017-09-14,Yountville,7
2017-09-15,Alexander Valley,19.1
2017-09-15,Diamond Mountain District,8
2017-09-15,Happy Canyon of Santa Barbara,46
2017-09-15,Los Carneros,62.51
2017-09-15,Oak Knoll District of Napa Valley,36
2017-09-15,Paicines,144
2017-09-15,Paso Robles,56
2017-09-15,Santa Maria Valley,87
2017-09-15,St. Helena,14
2017-09-15,Stags Leap District,4
2017-09-16,Los Carneros,38.25
2017-09-16,Mt. Veeder,6.5
2017-09-16,Sonoma Valley,3
2017-09-18,Alexander Valley,11
2017-09-18,Big Valley District-Lake County,48
2017-09-18,Calistoga,28.35
2017-09-18,Knights Valley,32.2
2017-09-18,Lodi,96
2017-09-18,Los Carneros,46.35
2017-09-18,Mokelumne River,144
2017-09-18,Moon Mountain District Sonoma County,3.5
2017-09-18,Oak Knoll District of Napa Valley,13
2017-09-18,Paicines,144
2017-09-18,Paso Robles,36
2017-09-18,San Lucas,96
2017-09-18,Santa Maria Valley,40
2017-09-19,Alexander Valley,15.700000000000001
2017-09-19,Big Valley District-Lake County,48
2017-09-19,Calistoga,20
2017-09-19,Clarksburg,24
2017-09-19,Lodi,96
2017-09-19,Los Carneros,33.16
2017-09-19,Mokelumne River,144
2017-09-19,Oakville,49
2017-09-19,Paicines,120
2017-09-19,Paso Robles,32
2017-09-19,San Lucas,191
2017-09-19,Santa Maria Valley,42
2017-09-20,Alexander Valley,23.5
2017-09-20,Big Valley District-Lake County,40
2017-09-20,Calistoga,49.4
2017-09-20,Happy Canyon of Santa Barbara,30
2017-09-20,Lodi,96
2017-09-20,Los Carneros,95.32
2017-09-20,Mokelumne River,120
2017-09-20,Napa Valley,7
2017-09-20,Paicines,192
2017-09-20,Petaluma Gap,3
2017-09-20,San Lucas,180
2017-09-20,Sonoma Valley,9.25
2017-09-21,Calistoga,50
2017-09-21,Clarksburg,72
2017-09-21,Knights Valley,15
2017-09-21,Los Carneros,75.32000000000001
2017-09-21,Napa Valley,15
2017-09-21,Oakville,20
2017-09-21,Paicines,144
2017-09-21,Red Hills Lake County,48
2017-09-21,San Lucas,72
2017-09-21,Santa Maria Valley,48
2017-09-21,Sonoma Valley,5
2017-09-22,Alexander Valley,11
2017-09-22,Big Valley District-Lake County,24
2017-09-22,Calistoga,36.5
2017-09-22,Clarksburg,144
2017-09-22,Happy Canyon of Santa Barbara,24
2017-09-22,Lodi,60
2017-09-22,Los Carneros,23
2017-09-22,Moon Mountain District Sonoma County,7
2017-09-22,Napa Valley,12
2017-09-22,Paicines,144
2017-09-22,Paso Robles,28
2017-09-22,Red Hills Lake County,40
2017-09-22,San Lucas,72
2017-09-23,Calistoga,22
2017-09-23,Napa Valley,22
2017-09-25,Big Valley District-Lake County,24
2017-09-25,Calistoga,42
2017-09-25,Clarksburg,96
2017-09-25,Clements Hills,48
2017-09-25,Dry Creek Valley,16
2017-09-25,Los Carneros,38.68
2017-09-25,Mokelumne River,144
2017-09-25,Napa Valley,22
2017-09-25,Oakville,18
2017-09-25,Paicines,116
2017-09-25,Paso Robles,74
2017-09-25,Rutherford,11
2017-09-25,San Lucas,72
2017-09-25,Yountville,14
2017-09-26,Calistoga,25.1
2017-09-26,Dry Creek Valley,9
2017-09-26,Los Carneros,39.6
2017-09-26,Mokelumne River,144
2017-09-26,Oakville,16
2017-09-26,Paicines,96
2017-09-26,Paso Robles,36
2017-09-26,Rutherford,8.1
2017-09-26,San Lucas,72
2017-09-26,St. Helena,93
2017-09-27,Calistoga,51
2017-09-27,Clarksburg,144
2017-09-27,Mendocino,24
2017-09-27,Mokelumne River,72
2017-09-27,Moon Mountain District Sonoma County,10
2017-09-27,Napa Valley,12
2017-09-27,Oak Knoll District of Napa Valley,8
2017-09-27,Oakville,41.8
2017-09-27,Paicines,96
2017-09-27,Paso Robles,92
2017-09-27,San Lucas,96
2017-09-27,Sonoma Valley,17.1
2017-09-27,St. Helena,10
2017-09-27,Stags Leap District,5
2017-09-28,Calistoga,69
2017-09-28,Clarksburg,72
2017-09-28,Coombsville,7
2017-09-28,Knights Valley,9
2017-09-28,Mendocino,36
2017-09-28,Oak Knoll District of Napa Valley,78
2017-09-28,Paicines,96
2017-09-28,Paso Robles,96
2017-09-28,Rutherford,8
2017-09-28,San Lucas,144
2017-09-28,San Miguel District,48
2017-09-28,St. Helena,11
2017-09-29,Calistoga,88
2017-09-29,High Valley,36
2017-09-29,Los Carneros,53
2017-09-29,Napa Valley,10
2017-09-29,Oak Knoll District of Napa Valley,11
2017-09-29,Oakville,45
2017-09-29,Paicines,72
2017-09-29,Paso Robles,54
2017-09-29,Rutherford,33.835
2017-09-29,San Lucas,216
2017-09-29,San Miguel District,40
2017-09-29,St. Helena,38
2017-09-29,Stags Leap District,18
2017-09-29,Yamhill-Carlton,12
2017-09-30,Calistoga,35.8
2017-09-30,Coombsville,9
2017-09-30,Knights Valley,22
2017-09-30,Napa Valley,6
2017-09-30,Oakville,39
2017-09-30,Paso Robles,22
2017-09-30,Rutherford,22.8
2017-09-30,Stags Leap District,28
2017-10-02,Calistoga,50.5
2017-10-02,Clements Hills,96
2017-10-02,Coombsville,18
2017-10-02,Knights Valley,38
2017-10-02,Mokelumne River,144
2017-10-02,Napa Valley,11
2017-10-02,Oak Knoll District of Napa Valley,20
2017-10-02,Oakville,20
2017-10-02,Paicines,72
2017-10-02,Paso Robles,84
2017-10-02,Rutherford,56.128
2017-10-02,San Lucas,120
2017-10-02,Sonoma Valley,7.9
2017-10-02,Stags Leap District,12
2017-10-02,Yountville,23
2017-10-03,Calistoga,74.5
2017-10-03,Diamond Mountain District,17
2017-10-03,Knights Valley,44.199999999999996
2017-10-03,Mokelumne River,72
2017-10-03,Moon Mountain District Sonoma County,17
2017-10-03,Napa Valley,5
2017-10-03,Oak Knoll District of Napa Valley,9
2017-10-03,Oakville,16
2017-10-03,Paicines,72
2017-10-03,Paso Robles,63
2017-10-03,Rutherford,7.62
2017-10-03,San Lucas,0
2017-10-03,Sonoma Valley,9.8
2017-10-03,Stags Leap District,20
2017-10-04,Calistoga,77.5
2017-10-04,Clements Hills,96
2017-10-04,Coombsville,24
2017-10-04,Diamond Mountain District,4.5
2017-10-04,Knights Valley,146.4
2017-10-04,Los Carneros,52.4
2017-10-04,Napa Valley,2
2017-10-04,Oakville,29
2017-10-04,Paicines,72
2017-10-04,Paso Robles,134
2017-10-04,Rutherford,24.375
2017-10-04,San Lucas,96
2017-10-04,Yountville,24
2017-10-05,Clarksburg,23.5
2017-10-05,High Valley,24
2017-10-05,Knights Valley,106
2017-10-05,Los Carneros,15
2017-10-05,Moon Mountain District Sonoma County,6
2017-10-05,Oakville,35
2017-10-05,Paicines,72
2017-10-05,Paso Robles,128
2017-10-05,Rutherford,23.2
2017-10-05,San Lucas,72
2017-10-05,St. Helena,92.55
2017-10-05,Stags Leap District,26
2017-10-06,Calistoga,60.5
2017-10-06,Clarksburg,23.5
2017-10-06,Clements Hills,72
2017-10-06,Knights Valley,70
2017-10-06,Oakville,57.9
2017-10-06,Paicines,72
