lat,lng,set
52.072553,-0.123446,OSM
51.407078,0.011937,OSM
51.813893,-2.713866,OSM
51.400449,0.045316,OSM
51.500850,-3.187562,OSM
51.407513,0.045317,OSM
53.320322,-2.651727,OSM
51.417884,0.007424,OSM
57.756105,-7.007627,OSM
51.429400,-0.001639,OSM
51.488276,-2.674320,OSM
51.404231,0.024737,OSM
53.292801,-4.418033,OSM
51.477630,-2.608194,OSM
51.672858,-4.040083,OSM
51.406217,0.032986,OSM
58.978562,-2.955537,OSM
51.414465,0.000472,OSM
51.642743,-4.105884,OSM
51.400660,0.026440,OSM
58.800806,-3.160028,OSM
51.403980,0.043069,OSM
53.077913,-3.273266,OSM
51.409739,0.035141,OSM
51.320644,-0.202023,OSM
51.431733,0.016246,OSM
51.027995,-3.101316,OSM
51.402953,0.031048,OSM
50.971144,-0.094880,OSM
51.404616,0.031012,OSM
52.765305,-3.822703,OSM
51.405971,0.013682,OSM
52.099438,-0.290945,OSM
51.411984,0.016126,OSM
50.948571,-2.927433,OSM
51.400110,0.017439,OSM
53.405765,-2.992308,OSM
51.399330,0.016964,OSM
51.807137,-3.931103,OSM
51.399434,-0.008634,OSM
58.791601,-3.153205,OSM
51.400985,0.036051,OSM
51.675562,-4.915860,OSM
51.377832,0.002818,OSM
51.943361,-3.962278,OSM
51.563552,-2.642782,OSM
51.621498,-2.510140,OSM
51.409259,-0.002129,OSM
51.795496,-0.188712,OSM
51.403712,0.009116,OSM
57.008854,-7.483940,OSM
51.395729,0.055355,OSM
51.166040,-0.281838,OSM
51.410426,0.042066,OSM
52.008925,-4.010188,OSM
51.416912,0.013007,OSM
57.901086,-6.813315,OSM
51.403839,0.051774,OSM
51.115929,-0.201346,OSM
51.411631,0.019138,OSM
53.114340,-4.123102,OSM
51.403787,0.017320,OSM
58.084041,-6.529359,OSM
51.399034,0.023002,OSM
51.776765,-3.662129,OSM
51.346755,0.036074,OSM
51.756286,-0.339436,OSM
51.392135,0.035748,OSM
51.507924,-2.564445,OSM
51.400753,0.018439,OSM
51.410868,0.014309,OSM
51.390155,0.057678,OSM
51.307536,-2.941876,OSM
51.378531,-0.078793,OSM
50.832950,-0.336441,OSM
51.387424,0.048203,OSM
51.439999,-2.862043,OSM
51.395403,0.003512,OSM
53.179379,-4.269447,OSM
51.389315,0.059522,OSM
52.018073,-3.834922,OSM
51.415319,-0.025084,OSM
51.669427,-4.042186,OSM
51.386879,0.063350,OSM
53.136619,-2.789248,OSM
51.396677,0.023899,OSM
53.071090,-2.487314,OSM
51.405115,0.012222,OSM
51.342516,-2.959614,OSM
51.395322,0.036411,OSM
53.481140,-2.886188,OSM
51.399327,-0.003087,OSM
50.925978,-0.131636,OSM
51.402436,0.008062,OSM
51.672956,-3.957579,OSM
51.392986,0.030680,OSM
51.490117,-2.677888,OSM
51.390120,0.041888,OSM
51.688331,-3.876834,OSM
51.401556,0.055375,OSM
51.853234,-4.306083,OSM
51.400705,0.078964,OSM
51.000555,-2.960435,OSM
51.411978,-0.025393,OSM
51.538219,-2.398231,OSM
51.413130,-0.031671,OSM
52.013381,-0.227005,OSM
51.419336,-0.022831,OSM
51.782066,-3.800631,OSM
51.419918,-0.030586,OSM
51.897446,-4.013002,OSM
51.404989,-0.038366,OSM
53.318708,-3.826245,OSM
51.411706,-0.045728,OSM
51.085958,-2.819987,OSM
51.401722,-0.025320,OSM
57.853456,-5.693267,OSM
51.366132,-0.003804,OSM
52.903376,-4.064802,OSM
51.364171,0.013218,OSM
58.285161,-6.776898,OSM
51.379545,-0.018644,OSM
51.474627,-3.238993,OSM
51.389956,-0.001526,OSM
58.253839,-5.021428,OSM
51.386280,-0.003058,OSM
51.889038,-4.002325,OSM
51.381741,-0.007548,OSM
50.859232,0.354318,OSM
51.381777,-0.003678,OSM
50.896298,0.057875,OSM
51.381432,0.083285,OSM
51.412144,0.074579,OSM
51.385318,0.088711,OSM
50.809150,0.256317,OSM
51.390580,0.090511,OSM
53.510714,-2.908630,OSM
51.393964,0.084152,OSM
51.065792,-0.303295,OSM
51.373391,-0.100404,OSM
57.581596,-3.851263,OSM
51.375019,-0.097898,OSM
51.796647,-0.198259,OSM
51.377409,-0.102163,OSM
53.461942,-2.705952,OSM
51.383013,0.077909,OSM
51.856783,-4.314516,OSM
51.394528,0.078887,OSM
51.005179,-3.088203,OSM
51.367116,-0.052787,OSM
51.133965,-0.013554,OSM
51.372084,-0.091845,OSM
58.229862,-6.386147,OSM
51.402546,0.112944,OSM
51.998240,-4.034338,OSM
51.372786,-0.097006,OSM
53.381140,-2.313362,OSM
51.389576,0.097797,OSM
57.452857,-6.661002,OSM
51.380513,-0.088277,OSM
50.860622,-0.109057,OSM
51.386384,0.079307,OSM
51.396018,0.008978,OSM
51.384747,0.071486,OSM
51.649040,-3.933519,OSM
51.372356,-0.083578,OSM
51.152064,-2.942344,OSM
51.376870,-0.085273,OSM
50.825412,-0.157541,OSM
51.374727,-0.088663,OSM
51.519621,-2.538540,OSM
51.369742,-0.093847,OSM
50.994300,-0.096212,OSM
51.385588,0.068385,OSM
53.421864,-2.514896,OSM
51.370097,-0.123798,OSM
50.851747,0.082458,OSM
51.367601,-0.106087,OSM
51.324461,-0.223649,OSM
51.391190,0.110567,OSM
53.295270,-3.726887,OSM
51.335684,-0.004318,OSM
51.366176,-0.205680,OSM
51.381062,-0.071411,OSM
51.431717,-2.578136,OSM
51.392614,0.106800,OSM
57.488224,-7.221804,OSM
51.393802,0.098321,OSM
51.353533,-0.196476,OSM
51.380587,-0.105141,OSM
53.200866,-2.371876,OSM
51.379509,-0.082161,OSM
51.237827,-0.183632,OSM
51.393691,-0.093606,OSM
57.753047,-5.010729,OSM
51.375446,-0.080802,OSM
53.008170,-2.582230,OSM
51.393806,0.091486,OSM
51.801547,-3.905734,OSM
51.376573,-0.060055,OSM
53.339275,-2.676558,OSM
51.374575,0.098583,OSM
57.651679,-6.397591,OSM
51.372395,-0.098724,OSM
51.249380,-0.105983,OSM
51.346371,-0.056347,OSM
51.105797,-3.309246,OSM
51.375557,-0.006303,OSM
58.648193,-3.195106,OSM
51.376138,-0.014776,OSM
51.427400,-2.613707,OSM
51.383848,0.109284,OSM
58.962125,-3.303301,OSM
51.381856,0.095313,OSM
50.907379,0.301593,OSM
51.295617,-0.110299,OSM
53.116530,-4.119462,OSM
51.287946,-0.097532,OSM
50.856351,0.241785,OSM
51.363560,-0.089748,OSM
53.312326,-4.632113,OSM
51.279528,-0.075703,OSM
52.074689,-0.136428,OSM
51.286937,-0.088062,OSM
53.246682,-3.141383,OSM
51.290909,-0.098019,OSM
51.378449,0.014327,OSM
51.293593,-0.089951,OSM
52.004170,-4.996247,OSM
51.378719,0.092826,OSM
50.927513,-0.042413,OSM
51.371025,-0.015155,OSM
51.300214,-2.696881,OSM
51.306418,-0.072613,OSM
51.406859,0.019396,OSM
51.294988,-0.072441,OSM
51.435459,-2.577054,OSM
51.294559,-0.078793,OSM
51.240789,-0.100427,OSM
51.405409,-0.047024,OSM
57.638907,-3.303387,OSM
51.417832,-0.165785,OSM
51.801771,-0.172532,OSM
51.402027,-0.140569,OSM
53.456959,-2.625926,OSM
51.371888,0.107008,OSM
58.806393,-3.204069,OSM
51.403124,-0.156314,OSM
53.337302,-2.804635,OSM
51.406431,-0.160045,OSM
58.980254,-2.969828,OSM
51.370923,0.102825,OSM
50.901111,-0.202399,OSM
51.396965,-0.049812,OSM
53.377202,-3.120943,OSM
51.405637,-0.163502,OSM
51.968808,-4.104204,OSM
51.383995,-0.158418,OSM
50.862784,-0.152385,OSM
51.382754,-0.159392,OSM
57.815921,-6.804723,OSM
51.397393,-0.173228,OSM
51.503073,-2.586607,OSM
51.382549,0.107417,OSM
52.009473,-0.024505,OSM
51.388285,-0.161749,OSM
51.416625,-2.617282,OSM
51.397721,-0.162360,OSM
51.452755,-2.589657,OSM
51.363394,0.082097,OSM
50.866611,-0.544897,OSM
51.395343,-0.160099,OSM
51.968228,-3.834299,OSM
51.360661,0.088449,OSM
58.961373,-3.299646,OSM
51.374677,0.082609,OSM
50.973433,-3.243194,OSM
51.402352,-0.161025,OSM
51.383166,-0.204573,OSM
51.407174,-0.168415,OSM
51.369455,-0.156033,OSM
51.407382,-0.175073,OSM
51.047151,-2.922425,OSM
51.416854,-0.152036,OSM
51.993039,-3.411792,OSM
51.367197,0.088042,OSM
50.875760,-0.010099,OSM
51.400516,-0.149736,OSM
51.450433,-2.619478,OSM
51.406331,-0.153278,OSM
51.540205,-3.264112,OSM
51.381626,0.101305,OSM
51.782384,-3.815582,OSM
51.416668,-0.158495,OSM
51.110357,-0.154477,OSM
51.399467,-0.181457,OSM
51.073695,-0.131065,OSM
51.508649,-2.517313,OSM
52.971561,-3.165972,OSM
51.374460,0.108983,OSM
50.898019,0.247219,OSM
51.456185,-2.590792,OSM
53.407807,-2.993501,OSM
51.376495,0.099564,OSM
59.049478,-3.281032,OSM
51.414204,-0.148285,OSM
51.698514,-3.867754,OSM
51.410032,-0.148710,OSM
51.099573,-3.138162,OSM
51.398104,-0.134864,OSM
51.460689,-2.611888,OSM
50.866833,-0.630482,OSM
58.211159,-6.789873,OSM
51.369644,0.122781,OSM
51.053195,-3.098940,OSM
51.399213,-0.141676,OSM
51.460745,-2.586117,OSM
51.412243,-0.144732,OSM
51.957781,-4.131380,OSM
51.413994,-0.168244,OSM
50.892887,0.133378,OSM
51.399215,-0.145785,OSM
51.014721,-0.450731,OSM
51.364412,0.064030,OSM
51.117450,-0.172008,OSM
51.396815,-0.139857,OSM
51.318099,-0.212120,OSM
51.400002,-0.133067,OSM
50.915274,0.121930,OSM
51.401583,-0.147081,OSM
51.065753,-0.314136,OSM
51.411413,-0.167841,OSM
51.437103,-2.487525,OSM
51.363756,0.104907,OSM
51.598553,-2.616553,OSM
51.416216,-0.163269,OSM
51.488565,-3.158482,OSM
51.410119,-0.143789,OSM
50.818188,-0.391917,OSM
51.119317,-0.167375,OSM
57.726567,-4.000883,OSM
51.448359,-2.583081,OSM
50.995733,-0.098754,OSM
51.398577,-0.131680,OSM
57.656319,-4.174364,OSM
51.391090,-0.158706,OSM
51.461401,-2.760274,OSM
58.444003,-4.991993,OSM
51.197734,-0.377238,OSM
51.373491,0.068876,OSM
58.986733,-3.210411,OSM
51.511390,-2.629478,OSM
53.403823,-2.629724,OSM
51.407479,-0.182124,OSM
51.702874,-2.671144,OSM
51.393197,-0.163337,OSM
51.442370,-2.629559,OSM
51.136214,-3.250844,OSM
53.423226,-2.528559,OSM
51.404913,-0.163264,OSM
52.022250,-3.189360,OSM
58.151768,-4.974757,OSM
51.867647,-2.630548,OSM
51.472524,-2.629106,OSM
57.622917,-4.818185,OSM
51.453420,-2.604634,OSM
50.819059,-0.387461,OSM
51.386495,-0.164683,OSM
51.485504,-3.174401,OSM
51.410948,-0.173226,OSM
51.434835,-2.618574,OSM
51.405244,0.058199,OSM
59.033502,-2.908994,OSM
51.400632,-0.169371,OSM
52.052174,-0.121107,OSM
51.388285,-0.161754,OSM
50.811236,-0.514340,OSM
51.495580,-2.603545,OSM
51.522883,-3.193159,OSM
51.408950,-0.156503,OSM
52.077945,-0.243614,OSM
51.404714,-0.175288,OSM
55.889229,-3.418877,OSM
51.403509,-0.176117,OSM
51.481244,-2.508281,OSM
51.403385,-0.168281,OSM
57.412072,-6.192697,OSM
51.412835,0.047942,OSM
51.308874,-2.630854,OSM
51.307626,-0.146345,OSM
50.947766,-0.141701,OSM
51.301990,-0.103881,OSM
51.796580,-0.193523,OSM
51.503772,-2.602472,OSM
53.295232,-3.724059,OSM
51.315598,-0.136102,OSM
51.019568,-3.048358,OSM
51.319923,-0.140909,OSM
51.143485,-3.034974,OSM
51.449619,-2.580860,OSM
51.683950,-4.138493,OSM
51.418472,0.046648,OSM
57.362225,-6.457692,OSM
51.520124,-2.620461,OSM
51.658077,-3.901623,OSM
51.512847,-2.598262,OSM
51.470798,-2.495613,OSM
51.500626,-2.592753,OSM
51.138253,-0.019599,OSM
51.405761,-2.591527,OSM
53.272976,-3.220888,OSM
51.302828,-0.166578,OSM
58.441737,-6.376867,OSM
51.305425,-0.171594,OSM
53.066682,-2.513851,OSM
51.307219,-0.163823,OSM
53.392248,-3.177470,OSM
51.278370,-0.196450,OSM
51.379370,-0.074826,OSM
51.307103,-0.132167,OSM
57.486799,-4.137352,OSM
51.309772,-0.171704,OSM
50.999677,-0.538630,OSM
51.317246,-0.158944,OSM
50.923795,0.161145,OSM
51.299468,-0.166891,OSM
50.967258,-0.138431,OSM
51.430696,-2.610753,OSM
51.130309,-3.124413,OSM
51.306681,-0.157408,OSM
58.983106,-3.248434,OSM
51.311221,-0.129604,OSM
51.249994,-0.170278,OSM
51.306366,-0.176154,OSM
51.030100,-3.126843,OSM
